track,combined_frustration_100_mean,combined_frustration_100_std,combined_frustration_100_min,combined_frustration_100_max,ground_frustration_100_mean,ground_frustration_100_std,velocity_frustration_100_mean,velocity_frustration_100_std,off_ground_ratio_mean,off_ground_ratio_std,rapid_change_ratio_mean,rapid_change_ratio_std,speed_std_mean,session_count
abyss,32.96,6.45,28.39,37.52,26.32,11.2,39.6,24.11,0.02,0.01,0.16,0.22,6.16,2
cornfield_crossing,26.68,1.0,24.92,27.28,36.81,9.19,16.56,7.23,0.04,0.01,0.04,0.09,4.58,5
hacienda,26.29,2.06,23.56,28.6,29.07,6.55,23.5,7.57,0.04,0.02,0.05,0.1,5.43,5
scotland,26.07,4.23,20.07,29.61,30.71,8.46,21.42,3.15,0.02,0.01,0.0,0.0,6.27,4
sandtrack,25.2,4.77,19.2,29.91,28.96,6.48,21.44,3.57,0.02,0.01,0.0,0.0,4.73,4
snowtuxpeak,19.35,3.02,16.76,22.66,14.77,2.45,23.94,5.28,0.04,0.03,0.0,0.0,5.61,3
ravenbridge_mansion,18.49,5.11,14.51,28.53,18.87,2.81,18.11,8.4,0.04,0.01,0.04,0.1,5.49,6
volcano_island,17.22,4.3,11.32,22.05,22.47,4.4,11.98,6.84,0.02,0.0,0.0,0.0,3.75,5
